player- Unknown, time- 00:00:10, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:13, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:16, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:19, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:22, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:25, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:28, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:31, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:34, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:37, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:40, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:43, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:46, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
player- Unknown, time- 00:00:49, difficult- EASY, board width- 9, board height-9, count of bombs- 20, DATE- 22 окт 2016 14:46:36
